epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.5749108195304871,0.42385172843933105,0.9101658463478088,0.471466988325119,0.38497194647789,0.5118952989578247,0.5377393960952759,0.6944928169250488,0.43685173988342285,0.69921875
1,0.597899317741394,0.44273555278778076,0.6304655075073242,0.5064404606819153,0.3932666480541229,0.5931800007820129,0.5674536228179932,0.6706066727638245,0.4992581605911255,0.6572265625
2,0.6442726850509644,0.5246292352676392,0.5815557241439819,0.5737040042877197,0.48328861594200134,0.592783510684967,0.5913251042366028,0.6696174740791321,0.4989926218986511,0.7255859375
3,0.6753864288330078,0.5757575631141663,0.5559166073799133,0.6135799288749695,0.5423274040222168,0.5126883387565613,0.5630998611450195,0.695682168006897,0.4427054226398468,0.7734375
4,0.72651606798172,0.6615158319473267,0.5176851153373718,0.6651048064231873,0.657965362071991,0.48572561144828796,0.5709559917449951,0.7093016505241394,0.43171584606170654,0.8427734375
5,0.7851763963699341,0.7450610995292664,0.45894744992256165,0.7191827297210693,0.7728714346885681,0.4167327582836151,0.5589205622673035,0.7915377616882324,0.4032886326313019,0.91015625
6,0.7981569766998291,0.7695440649986267,0.4381967782974243,0.7175105214118958,0.8297145366668701,0.4797779619693756,0.5751295685768127,0.7339492440223694,0.43023255467414856,0.8671875
7,0.8095521330833435,0.7856824398040771,0.42336663603782654,0.72355717420578,0.8594779372215271,0.43933385610580444,0.5728096961975098,0.7436434626579285,0.41469815373420715,0.92578125
8,0.8278834819793701,0.806634783744812,0.38906627893447876,0.7418099641799927,0.8838741183280945,0.4444884955883026,0.5647716522216797,0.7490742802619934,0.414122998714447,0.8876953125
9,0.8321442604064941,0.8107262253761292,0.37456175684928894,0.7478870153427124,0.8850939273834229,0.49881047010421753,0.5896103978157043,0.7643200755119324,0.44163423776626587,0.88671875
10,0.8241181373596191,0.805180549621582,0.3879965543746948,0.7318435907363892,0.8948523998260498,0.4924663007259369,0.586028516292572,0.7113730907440186,0.43810445070266724,0.884765625
