epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.5369599461555481,0.36135026812553406,0.9258331060409546,0.41081416606903076,0.3225176930427551,0.5955590605735779,0.11764706671237946,0.8491353392601013,0.5151515007019043,0.06640625
1,0.6001783609390259,0.37509679794311523,0.6170753836631775,0.5135708451271057,0.29543790221214294,0.5852497816085815,0.5789049863815308,0.6616343855857849,0.4924657642841339,0.7021484375
2,0.6254459023475647,0.5150116086006165,0.5844116806983948,0.54316645860672,0.48963162302970886,0.6118160486221313,0.5131775140762329,0.6524183750152588,0.5227963328361511,0.50390625
3,0.6621086001396179,0.5559896230697632,0.5594871044158936,0.5962021946907043,0.5208587646484375,0.6074544191360474,0.5433579087257385,0.6518120765686035,0.5148601531982422,0.5751953125
4,0.6903488039970398,0.6028719544410706,0.5361582636833191,0.6291776895523071,0.5786777138710022,0.5725614428520203,0.5424448251724243,0.6717817187309265,0.4797297418117523,0.6240234375
5,0.7181926369667053,0.6469712257385254,0.5112817287445068,0.6585797071456909,0.6357648372650146,0.5793021321296692,0.23614110052585602,0.6855987906455994,0.44931507110595703,0.16015625
6,0.7414783835411072,0.6786549687385559,0.4946361184120178,0.6853233575820923,0.6721151471138,0.4678826332092285,0.5244507193565369,0.8199507594108582,0.41156840324401855,0.72265625
7,0.772988498210907,0.7301849126815796,0.4633670151233673,0.7058287858963013,0.7562820315361023,0.46669310331344604,0.5734221339225769,0.7800780534744263,0.42461249232292175,0.8828125
8,0.7830955386161804,0.7477238774299622,0.45020270347595215,0.7086063623428345,0.7914125323295593,0.4853290915489197,0.5576005578041077,0.7329535484313965,0.4282722473144531,0.798828125
9,0.801426887512207,0.7702888250350952,0.42930516600608826,0.7264865040779114,0.8197121024131775,0.4532117247581482,0.583257794380188,0.8209144473075867,0.4223194718360901,0.9423828125
10,0.8166865110397339,0.7905344367027283,0.4066390097141266,0.7375871539115906,0.8516711592674255,0.48295003175735474,0.5901948809623718,0.7970175743103027,0.43512511253356934,0.9169921875
11,0.8043004274368286,0.7779651284217834,0.40459129214286804,0.7214345335960388,0.8441083431243896,0.47462332248687744,0.5824141502380371,0.8434096574783325,0.4299674332141876,0.90234375
12,0.8276852965354919,0.8061531186103821,0.37812262773513794,0.7422003149986267,0.8821663856506348,0.5567010045051575,0.5242553353309631,0.755533754825592,0.4645550549030304,0.6015625
13,0.8318470120429993,0.8115491271018982,0.36955803632736206,0.7448022961616516,0.8914369344711304,0.45796987414360046,0.5603087544441223,0.8843353986740112,0.41774579882621765,0.8505859375
14,0.8397740721702576,0.8178027868270874,0.35915273427963257,0.7598408460617065,0.8853378891944885,0.495638370513916,0.5933504104614258,0.7741440534591675,0.44106462597846985,0.90625
15,0.8343242406845093,0.8096538782119751,0.3631751239299774,0.7590181231498718,0.8675286769866943,0.46748611330986023,0.5911719799041748,0.8790780901908875,0.4294559955596924,0.9482421875
16,0.8461157083511353,0.8233821988105774,0.3425367772579193,0.7711972594261169,0.8831422328948975,0.4492466151714325,0.585001528263092,0.8957339525222778,0.4214377999305725,0.9560546875
17,0.8578081727027893,0.8360187411308289,0.32347315549850464,0.7863284349441528,0.8924127817153931,0.5067406892776489,0.5604240298271179,0.7461290955543518,0.43909192085266113,0.7744140625
18,0.8605826497077942,0.8399499654769897,0.32162103056907654,0.7868712544441223,0.900707483291626,0.45955589413642883,0.593012809753418,0.9110051989555359,0.42709678411483765,0.9697265625
19,0.8627625703811646,0.8414061069488525,0.30723702907562256,0.792835533618927,0.8963161706924438,0.43140363693237305,0.5826542377471924,1.0603119134902954,0.4150083065032959,0.9775390625
20,0.8614744544029236,0.8397892117500305,0.30708831548690796,0.7918738126754761,0.8938765525817871,0.45479777455329895,0.5899194478988647,0.9175962209701538,0.4246457815170288,0.9658203125
21,0.8655370473861694,0.8445411920547485,0.29753023386001587,0.7961122989654541,0.8992437124252319,0.4611419439315796,0.5847845673561096,0.897339940071106,0.42552244663238525,0.9345703125
22,0.886345624923706,0.8677200675010681,0.2681960463523865,0.8228346705436707,0.9177848100662231,0.4206978678703308,0.5798102021217346,1.0889854431152344,0.41092538833618164,0.984375
23,0.8889219164848328,0.8711642622947693,0.2633960247039795,0.8235549926757812,0.924615740776062,0.4413164258003235,0.5775112509727478,0.9089472889900208,0.4167027175426483,0.9404296875
24,0.8783194422721863,0.8562397956848145,0.2773630917072296,0.823092520236969,0.8921688199043274,0.4242664575576782,0.5766763687133789,1.0434634685516357,0.41105568408966064,0.9658203125
